id,forecastVolum
1,263
2,329
3,168
4,297
5,403
6,179
7,472
8,218
9,2080
10,357
11,696
12,178
13,324
14,346
15,642
16,404
17,301
18,291
19,583
20,115
21,319
22,260
23,353
24,369
25,247
26,286
27,720
28,425
29,1034
30,335
31,6926
32,808
33,1559
34,482
35,792
36,813
37,1369
38,758
39,647
40,1114
41,1215
42,282
43,398
44,589
45,152
46,314
47,239
48,359
49,446
50,154
51,419
52,168
53,1571
54,206
55,462
56,148
57,401
58,375
59,434
60,293
61,274
62,135
63,449
64,178
65,285
66,242
67,126
68,242
69,126
70,96
71,373
72,250
73,320
74,150
75,2701
76,317
77,864
78,287
79,336
80,478
81,998
82,485
83,486
84,513
85,322
86,129
87,218
88,165
89,197
90,3097
91,478
92,88
93,1336
94,1546
95,3091
96,1683
97,1438
98,1902
99,1813
100,778
101,3184
102,3970
103,1258
104,1277
105,1423
106,470
107,912
108,254
109,1539
110,476
111,273
112,493
113,483
114,82
115,938
116,1114
117,1460
118,572
119,4332
120,611
121,1314
122,756
123,1762
124,2170
125,864
126,1081
127,1219
128,359
129,322
130,549
131,522
132,402
133,1206
134,199
135,181
136,1274
137,393
138,393
139,1252
140,303
141,1062
142,136
143,1221
144,208
145,800
146,868
147,871
148,288
149,241
150,236
151,371
152,142
153,401
154,236
155,261
156,67
157,34
158,57
159,221
160,315
161,240
162,46
163,230
164,76
165,684
166,167
167,140
168,224
169,423
170,202
171,181
172,106
173,41
174,70
175,105
176,24
177,741
178,333
179,271
180,416
181,770
182,829
183,932
184,357
185,687
186,306
187,1262
188,754
189,638
190,922
191,854
192,961
193,943
194,422
195,266
196,371
197,376
198,152
199,689
200,318
201,268
202,117
203,1224
204,1290
205,1857
206,541
207,965
208,593
209,2406
210,1140
211,1261
212,1811
213,1486
214,1016
215,902
216,764
217,294
218,363
219,592
220,158
221,97
222,324
223,216
224,299
225,1202
226,681
227,1603
228,583
229,1091
230,585
231,915
232,666
233,1182
234,1945
235,1362
236,862
237,776
238,560
239,195
240,464
241,984
242,114
243,67
244,444
245,317
246,69
247,825
248,557
249,1220
250,748
251,859
252,508
253,609
254,523
255,1467
256,1342
257,595
258,549
259,699
260,304
261,350
262,351
263,852
264,248
265,102
266,803
267,481
268,72
269,1452
270,1003
271,1837
272,702
273,833
274,596
275,1155
276,737
277,1771
278,1848
279,779
280,922
281,815
282,436
283,284
284,409
285,718
286,477
287,302
288,1108
289,770
290,225
291,2094
292,1885
293,2845
294,722
295,1646
296,765
297,2573
298,1160
299,2030
300,4261
301,1512
302,1623
303,1959
304,681
305,749
306,811
307,838
308,615
309,562
310,422
311,441
312,735
313,701
314,735
315,1153
316,608
317,431
318,156
319,1334
320,321
321,1305
322,948
323,579
324,338
325,429
326,261
327,193
328,394
329,524
330,93
331,75
332,901
333,621
334,202
335,1688
336,360
337,1912
338,753
339,1334
340,425
341,613
342,339
343,2141
344,1331
345,493
346,400
347,987
348,393
349,830
350,181
351,593
352,1072
353,1271
354,918
355,464
356,290
357,1392
358,1499
359,2020
360,985
361,808
362,442
363,2254
364,999
365,2145
366,2218
367,1174
368,856
369,1131
370,684
371,424
372,720
373,896
374,280
375,252
376,602
377,595
378,81
379,1096
380,767
381,2379
382,1121
383,491
384,248
385,1089
386,398
387,2030
388,1491
389,486
390,246
391,434
392,292
393,580
394,278
395,742
396,489
397,298
398,417
399,502
400,947
401,1091
402,661
403,1530
404,452
405,824
406,250
407,1199
408,361
409,1613
410,1461
411,718
412,593
413,507
414,445
415,670
416,418
417,510
418,837
419,347
420,283
421,101
422,130
423,409
424,433
425,567
426,78
427,484
428,140
429,704
430,322
431,388
432,387
433,772
434,386
435,428
436,241
437,142
438,194
439,165
440,123
441,397
442,478
443,441
444,290
445,1499
446,984
447,1458
448,487
449,737
450,312
451,1639
452,505
453,1956
454,1699
455,1252
456,727
457,624
458,499
459,577
460,374
461,524
462,502
463,473
464,177
465,191
466,338
467,492
468,427
469,1050
470,171
471,438
472,130
473,1216
474,211
475,950
476,770
477,1075
478,269
479,244
480,215
481,182
482,94
483,242
484,184
485,36
486,50
487,63
488,35
489,144
490,309
491,528
492,202
493,83
494,72
495,182
496,71
497,478
498,279
499,65
500,140
501,150
502,41
503,126
504,70
505,111
506,82
507,648
508,225
509,97
510,607
511,596
512,340
513,541
514,127
515,1130
516,154
517,1432
518,249
519,377
520,334
521,1337
522,358
523,323
524,466
525,258
526,248
527,236
528,88
529,302
530,177
531,94
532,222
533,388
534,216
535,311
536,102
537,566
538,124
539,736
540,153
541,219
542,206
543,669
544,278
545,219
546,256
547,128
548,145
549,146
550,65
551,668
552,303
553,132
554,807
555,653
556,324
557,574
558,159
559,1141
560,177
561,1192
562,233
563,355
564,362
565,1047
566,460
567,326
568,424
569,274
570,260
571,272
572,102
573,125
574,43
575,22
576,92
577,108
578,79
579,141
580,23
581,137
582,28
583,295
584,33
585,102
586,76
587,297
588,63
589,57
590,40
591,41
592,31
593,54
594,18
595,542
596,224
597,165
598,463
599,591
600,421
601,557
602,145
603,744
604,134
605,1198
606,244
607,433
608,401
609,1284
610,404
611,370
612,274
613,372
614,206
615,312
616,146
617,321
618,149
619,112
620,191
621,273
622,221
623,382
624,98
625,458
626,103
627,680
628,153
629,252
630,217
631,709
632,295
633,219
634,208
635,116
636,99
637,136
638,63
639,462
640,256
641,169
642,558
643,535
644,341
645,563
646,128
647,1024
648,173
649,997
650,252
651,361
652,372
653,997
654,472
655,386
656,279
657,297
658,201
659,273
660,117
661,523
662,258
663,70
664,487
665,483
666,381
667,488
668,80
669,1095
670,165
671,1127
672,205
673,414
674,370
675,1384
676,318
677,373
678,344
679,208
680,235
681,222
682,73
683,219
684,644
685,174
686,82
687,441
688,1111
689,1892
690,515
691,2325
692,1797
693,1426
694,485
695,1230
696,3857
697,700
698,560
699,807
700,340
701,451
702,164
703,660
704,404
705,376
706,195
707,262
708,62
709,543
710,307
711,644
712,150
713,176
714,84
715,842
716,240
717,490
718,452
719,414
720,163
721,306
722,184
723,61
724,107
725,443
726,67
727,440
728,149
729,62
730,104
731,210
732,143
733,270
734,62
735,126
736,39
737,375
738,78
739,182
740,197
741,261
742,99
743,127
744,86
745,46
746,82
747,128
748,34
749,195
750,81
751,98
752,376
753,437
754,203
755,641
756,167
757,1421
758,274
759,679
760,238
761,416
762,296
763,602
764,495
765,413
766,541
767,226
768,323
769,162
770,148
771,185
772,331
773,461
774,540
775,773
776,218
777,662
778,271
779,1630
780,302
781,565
782,294
783,732
784,643
785,569
786,1124
787,541
788,365
789,553
790,477
791,493
792,313
793,71
794,140
795,99
796,43
797,280
798,157
799,241
800,92
801,526
802,148
803,444
804,222
805,204
806,308
807,382
808,185
809,261
810,169
811,104
812,119
813,98
814,68
815,265
816,270
817,366
818,231
819,882
820,550
821,1770
822,786
823,5809
824,1537
825,1834
826,1042
827,1572
828,1522
829,1228
830,881
831,1316
832,952
833,1080
834,454
835,375
836,622
837,200
838,363
839,296
840,306
841,370
842,360
843,870
844,401
845,1958
846,303
847,657
848,319
849,723
850,840
851,607
852,1020
853,545
854,511
855,584
856,170
857,382
858,426
859,168
860,347
861,259
862,125
863,405
864,411
865,651
866,267
867,1712
868,308
869,893
870,330
871,591
872,705
873,813
874,761
875,399
876,481
877,357
878,164
879,262
880,256
881,168
882,17
883,23
884,216
885,42
886,61
887,273
888,92
889,690
890,23
891,321
892,36
893,246
894,153
895,341
896,58
897,37
898,69
899,104
900,21
901,33
902,41
903,182
904,307
905,136
906,129
907,474
908,283
909,557
910,222
911,2350
912,292
913,635
914,304
915,464
916,450
917,723
918,535
919,413
920,558
921,302
922,167
923,176
924,161
925,233
926,132
927,180
928,349
929,353
930,302
931,731
932,286
933,1776
934,141
935,769
936,210
937,629
938,517
939,1078
940,465
941,431
942,404
943,658
944,136
945,202
946,310
947,230
948,64
949,52
950,335
951,271
952,111
953,219
954,44
955,376
956,44
957,232
958,68
959,148
960,128
961,122
962,131
963,142
964,98
965,89
966,120
967,136
968,58
969,104
970,83
971,67
972,25
973,193
974,374
975,392
976,97
977,368
978,59
979,582
980,285
981,271
982,519
983,584
984,234
985,194
986,156
987,47
988,40
989,84
990,33
991,36
992,74
993,51
994,42
995,140
996,163
997,352
998,23
999,68
1000,31
1001,286
1002,126
1003,210
1004,269
1005,260
1006,185
1007,202
1008,70
1009,60
1010,30
1011,103
1012,39
1013,235
1014,108
1015,54
1016,117
1017,654
1018,610
1019,635
1020,116
1021,694
1022,146
1023,1538
1024,438
1025,398
1026,1384
1027,970
1028,439
1029,420
1030,368
1031,120
1032,265
1033,214
1034,68
1035,29
1036,150
1037,259
1038,28
1039,409
1040,211
1041,1008
1042,531
1043,290
1044,211
1045,322
1046,153
1047,1040
1048,639
1049,401
1050,157
1051,218
1052,183
1053,466
1054,71
1055,212
1056,248
1057,248
1058,288
1059,185
1060,193
1061,607
1062,768
1063,676
1064,183
1065,535
1066,150
1067,914
1068,546
1069,712
1070,1131
1071,1098
1072,518
1073,442
1074,282
1075,127
1076,211
1077,299
1078,86
1079,142
1080,141
1081,38
1082,52
1083,253
1084,211
1085,360
1086,61
1087,282
1088,103
1089,579
1090,141
1091,355
1092,308
1093,331
1094,143
1095,136
1096,197
1097,48
1098,103
1099,123
1100,34
1123,325
1124,227
1125,47
1126,74
1127,571
1128,584
1129,442
1130,65
1131,964
1132,211
1133,1043
1134,291
1135,358
1136,522
1137,819
1138,402
1139,356
1140,481
1141,85
1142,323
1143,176
1144,54
1145,295
1146,348
1147,192
1148,373
1149,519
1150,255
1151,596
1152,149
1153,925
1154,186
1155,546
1156,175
1157,522
1158,514
1159,385
1160,317
1161,380
1162,189
1163,212
1164,368
1165,258
1166,236
1167,195
1168,272
1169,156
1170,90
1171,568
1172,972
1173,857
1174,263
1175,566
1176,385
1177,1042
1178,415
1179,667
1180,1516
1181,469
1182,394
1183,702
1184,390
1185,121
1186,363
1187,619
1188,86
1189,38
1190,85
1191,142
1192,33
1193,156
1194,172
1195,356
1196,84
1197,49
1198,27
1199,107
1200,124
1201,205
1202,325
1203,63
1204,170
1205,470
1206,24
1207,54
1208,102
1209,293
1210,79
1211,90
1212,383
1213,338
1214,89
1215,1018
1216,374
1217,617
1218,581
1219,507
1220,212
1221,575
1222,299
1223,1037
1224,849
1225,337
1226,270
1227,487
1228,165
1229,136
1230,581
1231,597
1232,119
1233,275
1234,721
1235,661
1236,199
1237,1612
1238,739
1239,856
1240,482
1241,966
1242,333
1243,1189
1244,433
1245,1063
1246,1407
1247,889
1248,584
1249,1017
1250,382
1251,217
1252,1400
1253,788
1254,198
1255,23
1256,665
1257,52
1258,89
1259,403
1260,153
1261,327
1262,99
1263,322
1264,34
1265,441
1266,70
1267,452
1268,560
1269,242
1270,313
1271,244
1272,83
1273,143
1274,407
1275,139
1276,29
1277,58
1278,128
1279,85
1280,60
1281,465
1282,135
1283,280
1284,124
1285,215
1286,117
1287,280
1288,100
1289,446
1290,382
1291,147
1292,56
1293,197
1294,84
1295,28
1296,510
1297,304
1298,16
1299,421
1300,62
1301,73
1302,59
1303,361
1304,360
1305,308
1306,132
1307,263
1308,127
1309,634
1310,271
1311,244
1312,615
1313,256
1314,271
1315,285
1316,102
1317,43
1318,65
1319,141
1320,20
1321,105
1322,99
1323,65
1324,58
1325,242
1326,164
1327,135
1328,35
1329,492
1330,174
1331,345
1332,89
1333,109
1334,116
1335,318
1336,202
1337,301
1338,106
1339,78
1340,124
1341,236
1342,53
1343,178
1344,215
1345,111
1346,240
1347,246
1348,94
1349,287
1350,137
1351,1647
1352,242
1353,544
1354,96
1355,222
1356,222
1357,460
1358,243
1359,185
1360,200
1361,491
1362,72
1363,208
1364,193
1365,273
1366,304
1367,200
1368,235
1369,491
1370,307
1371,791
1372,274
1373,5407
1374,638
1375,1284
1376,340
1377,696
1378,616
1379,1250
1380,540
1381,473
1382,946
1383,1212
1384,200
1385,303
1386,562
1387,98
1388,214
1389,161
1390,305
1391,260
1392,86
1393,258
1394,108
1395,1187
1396,125
1397,332
1398,77
1399,284
1400,234
1401,307
1402,176
1403,167
1404,83
1405,356
1406,106
1407,183
1408,170
1409,86
1410,158
1411,89
1412,70
1413,245
1414,162
1415,228
1416,98
1417,2280
1418,253
1419,765
1420,189
1421,312
1422,333
1423,868
1424,330
1425,312
1426,376
1427,294
1428,81
1429,148
1430,132
1431,150
1432,2356
1433,468
1434,63
1435,1290
1436,1486
1437,2486
1438,1237
1439,1375
1440,1295
1441,1805
1442,702
1443,2985
1444,2809
1445,1171
1446,982
1447,1051
1448,460
1449,880
1450,213
1451,1019
1452,488
1453,155
1454,343
1455,335
1456,52
1457,593
1458,790
1459,1026
1460,392
1461,2951
1462,398
1463,1071
1464,462
1465,1525
1466,1624
1467,585
1468,696
1469,856
1470,227
1471,232
1472,305
1473,313
1474,280
1475,1057
1476,164
1477,131
1478,1246
1479,250
1480,272
1481,1042
1482,218
1483,804
1484,96
1485,1060
1486,150
1487,659
1488,672
1489,709
1490,197
1491,161
1492,171
1493,285
1494,102
1495,274
1496,189
1497,158
1498,41
1499,22
1500,37
1501,137
1502,199
1503,154
1504,29
1505,131
1506,44
1507,511
1508,100
1509,87
1510,142
1511,285
1512,117
1513,100
1514,63
1515,24
1516,37
1517,61
1518,11
1519,552
1520,243
1521,192
1522,310
1523,521
1524,521
1525,500
1526,257
1527,486
1528,197
1529,800
1530,457
1531,450
1532,634
1533,602
1534,596
1535,578
1536,277
1537,181
1538,237
1539,222
1540,105
1541,492
1542,222
1543,190
1544,69
1545,796
1546,972
1547,1481
1548,425
1549,721
1550,432
1551,2314
1552,786
1553,1052
1554,1287
1555,1194
1556,603
1557,615
1558,577
1559,230
1560,219
1561,376
1562,132
1563,46
1564,230
1565,150
1566,212
1567,798
1568,466
1569,1036
1570,399
1571,601
1572,403
1573,682
1574,417
1575,802
1576,1007
1577,927
1578,406
1579,463
1580,414
1581,126
1582,296
1583,635
1584,81
1585,42
1586,285
1587,185
1588,44
1589,497
1590,335
1591,822
1592,484
1593,536
1594,318
1595,449
1596,291
1597,1052
1598,796
1599,390
1600,325
1601,390
1602,188
1603,238
1604,207
1605,437
1606,170
1607,68
1608,588
1609,351
1610,50
1611,1059
1612,679
1613,1203
1614,494
1615,504
1616,373
1617,1012
1618,405
1619,1359
1620,1134
1621,595
1622,508
1623,471
1624,318
1625,216
1626,255
1627,429
1628,410
1629,184
1630,779
1631,512
1632,141
1633,1157
1634,1022
1635,1524
1636,463
1637,940
1638,412
1639,1766
1640,599
1641,1409
1642,1880
1643,1043
1644,781
1645,939
1646,435
1647,517
1648,452
1649,440
1650,464
1651,418
1652,292
1653,328
1654,620
1655,461
1656,479
1657,808
1658,495
1659,257
1660,83
1661,1029
1662,183
1663,1049
1664,654
1665,408
1666,196
1667,278
1668,164
1669,131
1670,248
1671,362
1672,73
1673,47
1674,782
1675,521
1676,157
1677,1504
1678,273
1679,1704
1680,616
1681,1066
1682,308
1683,585
1684,221
1685,2009
1686,1077
1687,407
1688,266
1689,669
1690,305
1691,775
1692,119
1693,436
1694,1049
1695,682
1696,669
1697,342
1698,178
1699,988
1700,1052
1701,1445
1702,740
1703,515
1704,281
1705,1760
1706,610
1707,1686
1708,1450
1709,868
1710,537
1711,751
1712,532
1713,296
1714,439
1715,624
1716,216
1717,208
1718,393
1719,388
1720,55
1721,759
1722,525
1723,1690
1724,820
1725,298
1726,152
1727,857
1728,198
1729,1790
1730,1087
1731,348
1732,129
1733,235
1734,163
1735,495
1736,174
1737,479
1738,382
1739,196
1740,292
1741,379
1742,772
1743,721
1744,428
1745,1118
1746,350
1747,549
1748,152
1749,1018
1750,213
1751,1451
1752,1113
1753,529
1754,370
1755,314
1756,266
1757,572
1758,282
1759,396
1760,719
1761,244
1762,207
1763,67
1764,82
1765,312
1766,306
1767,402
1768,54
1769,324
1770,98
1771,572
1772,205
1773,311
1774,277
1775,537
1776,254
1777,282
1778,185
1779,106
1780,128
1781,121
1782,94
1783,274
1784,330
1785,305
1786,193
1787,1120
1788,761
1789,1155
1790,356
1791,497
1792,211
1793,1546
1794,354
1795,1800
1796,1283
1797,994
1798,457
1799,416
1800,342
1801,494
1802,236
1803,346
1804,465
1805,486
1806,158
1807,168
1808,340
1809,434
1810,399
1811,1028
1812,146
1813,389
1814,99
1815,1386
1816,174
1817,1012
1818,745
1819,1151
1820,240
1821,226
1822,206
1823,169
1824,71
1825,219
1826,176
1827,17
1828,25
1829,41
1830,19
1831,67
1832,147
1833,304
1834,130
1835,46
1836,34
1837,99
1838,30
1839,313
1840,136
1841,35
1842,56
1843,72
1844,18
1845,87
1846,37
1847,52
1848,54
1849,557
1850,160
1851,65
1852,505
1853,456
1854,248
1855,417
1856,93
1857,913
1858,109
1859,1220
1860,165
1861,275
1862,227
1863,1118
1864,245
1865,212
1866,322
1867,189
1868,184
1869,166
1870,65
1871,193
1872,111
1873,64
1874,151
1875,218
1876,128
1877,185
1878,59
1879,362
1880,72
1881,532
1882,90
1883,135
1884,122
1885,485
1886,160
1887,122
1888,154
1889,83
1890,82
1891,89
1892,42
1893,500
1894,182
1895,92
1896,634
1897,403
1898,190
1899,369
1900,107
1901,871
1902,122
1903,905
1904,138
1905,242
1906,232
1907,778
1908,279
1909,194
1910,268
1911,196
1912,162
1913,166
1914,76
1915,100
1916,33
1917,15
1918,53
1919,75
1920,58
1921,107
1922,17
1923,101
1924,18
1925,265
1926,21
1927,74
1928,61
1929,237
1930,47
1931,42
1932,27
1933,27
1934,22
1935,40
1936,12
1937,321
1938,132
1939,101
1940,312
1941,328
1942,215
1943,335
1944,84
1945,500
1946,73
1947,858
1948,115
1949,292
1950,242
1951,889
1952,208
1953,189
1954,152
1955,244
1956,106
1957,160
1958,90
1959,238
1960,107
1961,82
1962,134
1963,194
1964,152
1965,275
1966,68
1967,355
1968,68
1969,619
1970,103
1971,210
1972,151
1973,597
1974,194
1975,152
1976,147
1977,79
1978,64
1979,96
1980,44
1981,280
1982,169
1983,104
1984,459
1985,315
1986,188
1987,341
1988,73
1989,635
1990,96
1991,709
1992,122
1993,262
1994,242
1995,686
1996,248
1997,223
1998,160
1999,191
2000,109
2001,166
2002,75
2003,422
2004,182
2005,46
2006,312
2007,331
2008,261
2009,329
2010,62
2011,805
2012,101
2013,961
2014,126
2015,287
2016,246
2017,1115
2018,207
2019,231
2020,224
2021,156
2022,161
2023,148
2024,43
2025,124
2026,463
2027,136
2028,54
2029,323
2030,712
2031,1291
2032,342
2033,1576
2034,1057
2035,1137
2036,336
2037,1050
2038,2379
2039,445
2040,324
2041,547
2042,244
2043,345
2044,119
2045,374
2046,331
2047,278
2048,135
2049,179
2050,44
2051,328
2052,191
2053,422
2054,89
2055,105
2056,51
2057,671
2058,121
2059,355
2060,298
2061,314
